NEWS_ID,Date,Region,Event_Type,Impact_Level,Affected_Industry,Tariff_Change,StockMarket_Shock,War_Flag,Natural_Calamity_Flag,Currency_Shift
NEWS_1,2023-05-04,Asia,Supply Chain Shock,Medium,Engineering,0.26,-0.7,0,0,0.08
NEWS_2,2024-02-03,Global,Supply Chain Shock,Medium,Solar,0.36,-0.66,0,1,-0.62
NEWS_3,2021-11-23,Global,Trade Agreement,High,Chemicals,0.91,0.94,0,1,0.13
NEWS_4,2023-05-12,Global,Tariff Update,High,Textiles,-0.16,-0.08,1,0,0.86
NEWS_5,2021-07-13,Middle East,Tariff Update,Medium,Textiles,0.47,0.92,0,1,0.56
NEWS_6,2022-02-12,Europe,Trade Agreement,Low,Electronics,-0.16,-0.55,0,0,-0.41
NEWS_7,2024-01-08,North America,Stock Crash,High,Medical Devices,0.0,0.59,0,0,0.16
NEWS_8,2023-06-14,Europe,Natural Calamity,Low,Auto Parts,-0.56,-0.37,0,0,-0.6
NEWS_9,2024-06-16,Global,Tariff Update,High,Textiles,-0.07,0.52,0,1,0.21
NEWS_10,2022-10-10,Asia,War Alert,Medium,Medical Devices,0.02,0.16,0,1,0.62
NEWS_11,2022-04-07,Middle East,Trade Agreement,High,Engineering,0.32,0.35,0,1,-0.44
NEWS_12,2023-03-15,Asia,Stock Crash,Low,Machinery,0.32,0.09,1,0,0.57
NEWS_13,2024-04-16,Europe,War Alert,Low,Textiles,-0.13,-0.48,1,1,-0.81
NEWS_14,2021-07-31,Global,Trade Agreement,Low,Textiles,-0.38,-0.73,1,1,0.84
NEWS_15,2022-01-23,Middle East,Trade Agreement,Low,Solar,0.74,-0.78,0,1,-0.13
NEWS_16,2024-11-13,Asia,Supply Chain Shock,Low,Pharmaceuticals,-0.49,-0.93,0,1,0.88
NEWS_17,2024-08-02,Middle East,Stock Crash,High,Pharmaceuticals,0.28,-0.14,1,0,0.8
